AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000005708,Mcvies Shop,Magherafelt,54.76465302,-6.50164905,296497,391779
700000005709,Elk BarMcgoggans Pub,Magherafelt,54.76350787,-6.49695279,296802,391658
700000005710,Claysheds,Magherafelt,54.7577757,-6.4731805,298346,391053
700000005711,Strand Road,Magherafelt,54.75612357,-6.46684287,298758,390878
700000005712,Main Street,Antrim,54.75248462,-6.46183924,299089,390480
700000005713,Trea Gardens,Antrim,54.75098499,-6.45835489,299317,390318
700000005714,209-217 Moneynick Road,Antrim,54.7498459,-6.45215464,299719,390200
700000005715,Moneynick Service Station,Antrim,54.74721515,-6.43756344,300665,389928
700000005716,Ivybrook Crossroads,Antrim,54.74495099,-6.4257396,301432,389693
700000005717,MckeeversCorner,Antrim,54.74317756,-6.40347809,302870,389528
700000005718,Moneynick PS,Antrim,54.7420153,-6.39099246,303677,389417
700000005719,Liddys Corner,Antrim,54.74332913,-6.37097026,304963,389593
700000005720,Derryhollagh Cottages,Antrim,54.74393678,-6.36605419,305278,389668
700000005721,Mcculloughs Pillars,Antrim,54.74305135,-6.36035971,305647,389578
700000005722,Speedys Lane,Antrim,54.74237197,-6.3394857,306993,389534
700000005723,The Gables,Antrim,54.74455724,-6.32852567,307693,389794
700000005724,New Street,Antrim,54.74883393,-6.32139155,308141,390281
700000005725,Shane Street,Antrim,54.74818695,-6.31425858,308602,390220
700000005726,Castle Avenue,Antrim,54.74624196,-6.31006859,308877,390010
700000005727,Castle Lodge,Antrim,54.74485037,-6.30306056,309332,389866
700000005728,Castle Road,Antrim,54.73794615,-6.28043131,310808,389133
700000005729,Maghereagh Road,Antrim,54.7345794,-6.27111872,311417,388773
700000005730,Edenduff Cottages,Antrim,54.73304885,-6.2671163,311679,388609
700000005731,Milltown Road,Antrim,54.73124533,-6.26225647,311997,388416
700000005732,Sandgate Lodge,Antrim,54.72544318,-6.25112689,312730,387788
700000005733,Enkalon,Antrim,54.72166014,-6.22942078,314139,387402
700000005734,Narvik Drive,Antrim,54.72123289,-6.22723545,314281,387358
700000005735,Randalstown Road,Antrim,54.71993967,-6.22175114,314638,387223
700000005736,Oriel Road,Antrim,54.71946287,-6.21742637,314918,387177
700000005737,St Comgalls School,Antrim,54.72002374,-6.22013334,314742,387235
700000005738,St Comgall's Church,Antrim,54.71884472,-6.22060404,314715,387103
700000005739,Antrim Primary School,Antrim,54.7159783,-6.21751721,314922,386789
700000005740,Railway Street,Antrim,54.71535102,-6.2170171,314956,386720
700000005741,High Street,Antrim,54.71419873,-6.21747115,314930,386591
700000005742,High Street,Antrim,54.71450656,-6.21885428,314840,386623
700000005743,Fountain Street,Antrim,54.7135525,-6.21141648,315322,386529
700000005744,Moylena Road,Antrim,54.71246991,-6.20989687,315423,386411
700000005745,Cunningham Way,Antrim,54.71073371,-6.2115716,315320,386215
700000005746,Moylena Grove,Antrim,54.70870586,-6.2147951,315118,385984
700000005747,Greenvale Village,Antrim,54.70722973,-6.20973984,315448,385828
700000005748,Cemetery,Antrim,54.70677026,-6.20479517,315768,385785
700000005749,Technology Park,Antrim,54.70683708,-6.19900497,316141,385802
700000005750,Firfields,Antrim,54.71263785,-6.22559324,314411,386404
700000005751,Atlantic Avenue,Antrim,54.72307997,-6.22698409,314292,387564
700000005752,Greenvale Village,Antrim,54.70687091,-6.20856096,315525,385790
700000005753,Moylena Grove,Antrim,54.70921839,-6.214214,315154,386042
700000005754,Cunningham Way,Antrim,54.71157545,-6.21077421,315369,386310
700000005755,Moylena Road,Antrim,54.71271165,-6.20983966,315426,386438
700000005757,Briar Hill,Antrim,54.707612,-6.22044431,314757,385853
700000005758,Meadowside,Antrim,54.7070758,-6.21758192,314943,385798
700000005759,Cedarmount,Antrim,54.70535907,-6.22058951,314754,385602
700000005760,Greenview Way,Antrim,54.70662144,-6.2227374,314612,385739
700000005764,British Legion,Antrim,54.71312049,-6.21990819,314776,386467
700000005765,Footway Rathenraw,Antrim,54.71884025,-6.18936255,316728,387154
700000005766,Norfolk Court,Antrim,54.71918448,-6.18774863,316831,387195
700000005767,Sussex Square,Antrim,54.72102653,-6.18656445,316902,387402
700000005768,Somerset Park,Antrim,54.71964173,-6.17989045,317336,387259
700000005769,Devon Square,Antrim,54.71832522,-6.18496236,317013,387104
700000005770,Aird Close,Antrim,54.7179215,-6.18980701,316702,387051
700000005771,Ardglinis Gardens,Antrim,54.71935685,-6.19207107,316552,387207
700000005772,Carnbrook Drive,Antrim,54.71936162,-6.19480241,316376,387203
700000005773,Elim Church,Antrim,54.72149818,-6.20012428,316027,387432
700000005774,Oaktree Drive,Antrim,54.72280371,-6.20334145,315816,387572
700000005775,Tobergill Gardens,Antrim,54.72343629,-6.2054089,315681,387639
